date,open,high,low,close,volume,symbol,t_sma,t_wma,t_ema,t_willr,t_stck,t_stcd,t_rsi,t_cci,t_mom,t_macd,updown
2000-01-03,30.32018957316504,30.441794611560084,28.53664901003768,29.24601173400879,3655600.0,ADI,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
2000-01-04,29.023088619482778,29.67164925902429,27.74623486038542,27.766502380371094,2533200.0,ADI,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
2000-01-05,27.766513001146933,28.6177491661456,26.97607941936246,28.171863555908203,3228000.0,ADI,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1
2000-01-06,28.171857320345364,28.415067599369927,26.996340971726635,27.40169143676757,2601000.0,ADI,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
2000-01-07,27.239557279957285,28.69881927709785,26.79367166971989,28.171863555908203,1890600.0,ADI,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1
2000-01-10,29.18522065400604,30.72555174407858,28.94201048188932,30.62421417236328,2570000.0,ADI,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1
2000-01-11,30.32020323485486,30.482343359105418,29.26629242722621,29.36763000488281,1926200.0,ADI,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
2000-01-12,29.28656968203457,30.96877403055283,28.86095171433719,30.320213317871094,2842400.0,ADI,-1,-1,-1,-1,-1,-1,1,-1,-1,-1,1
2000-01-13,31.04984393745641,31.04984393745641,30.077002874141847,30.421550750732425,1685000.0,ADI,-1,-1,-1,-1,-1,-1,1,-1,-1,-1,1
2000-01-14,31.049839871144325,33.05632430145979,31.00930483214805,32.87391662597656,4688800.0,ADI,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1
2000-01-18,32.59018457480494,32.995535129217934,31.7997509936996,31.94162368774414,1968800.0,ADI,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
2000-01-19,32.26587978323081,33.15765033000351,32.10373968381759,32.89417266845703,1835600.0,ADI,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1
2000-01-20,33.48193534884641,33.72514553297847,32.10374430543143,32.2456169128418,1991000.0,ADI,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
2000-01-21,32.387492830047016,32.40776034746256,31.33358192443848,31.33358192443848,1788600.0,ADI,1,1,1,-1,-1,-1,-1,-1,-1,-1,-1
2000-01-24,32.59017480863524,32.914455154989824,31.657868812865825,31.96188163757324,2860200.0,ADI,1,1,1,1,-1,-1,1,1,1,-1,1
2000-01-25,31.96186571348281,34.13048944927397,31.77945810953776,34.04941940307617,2408200.0,ADI,1,1,1,1,-1,-1,-1,1,1,-1,1
2000-01-26,33.72515617797326,33.806226264939546,31.982149308198203,32.97525787353516,2682800.0,ADI,1,1,1,-1,1,-1,-1,-1,1,-1,-1
