date,open,high,low,close,volume,symbol,t_sma,t_wma,t_ema,t_willr,t_stck,t_stcd,t_rsi,t_cci,t_mom,t_macd,updown
2000-01-03,23.941818327771816,23.941818327771816,22.636324825965367,23.59213256835937,14356400.0,AMAT,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
2000-01-04,22.706270007730275,23.359016989472007,22.379896516859407,22.42652130126953,22822400.0,AMAT,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
2000-01-05,22.018549903680128,22.41486048955897,21.1909601508155,21.587270736694336,27791200.0,AMAT,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
2000-01-06,21.30751906649443,22.17007727815777,20.93452092091028,21.62223625183105,22438000.0,AMAT,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1
2000-01-07,21.027773720003715,21.83205109621228,20.70140029197705,21.808738708496094,37732400.0,AMAT,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1
2000-01-10,22.216704437452066,23.720353373669965,22.10014250441192,23.568822860717773,30214400.0,AMAT,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1
2000-01-11,23.07926079305539,24.18659906342926,22.41485783083107,22.53141975402832,27264000.0,AMAT,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
2000-01-12,22.752885254626783,23.73200531681359,21.983576634337147,23.697036743164062,30550400.0,AMAT,-1,-1,-1,-1,-1,-1,1,-1,-1,-1,1
2000-01-13,23.05595237854494,23.77863642681076,22.309955941625383,23.219139099121094,44196400.0,AMAT,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
2000-01-14,24.209911782400948,25.923372077062933,24.15163081999748,25.29393768310547,61415200.0,AMAT,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1
2000-01-18,24.967571124448256,25.690255255968232,24.641197645697297,25.2006950378418,27733600.0,AMAT,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
2000-01-19,25.27062929335972,26.71599738947439,25.037505406889608,26.552810668945312,29092400.0,AMAT,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1
2000-01-20,26.83255875791822,27.11230741568973,25.853438455717903,26.1098747253418,28180000.0,AMAT,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
2000-01-21,26.412931843985497,26.622743306117773,25.70190411120389,26.342994689941406,30846000.0,AMAT,1,1,1,-1,-1,-1,-1,-1,-1,-1,1
2000-01-24,26.168154512011707,27.34543006021357,26.15649831846516,26.203123092651367,25352800.0,AMAT,1,1,1,-1,-1,-1,-1,-1,1,-1,-1
2000-01-25,26.37796459255772,27.10064855399765,25.224001492839108,26.937461853027344,32854800.0,AMAT,1,1,1,1,-1,-1,-1,-1,1,-1,1
2000-01-26,26.86753029377309,26.937467465904383,25.00253903693851,25.04916381835937,27227600.0,AMAT,1,-1,1,-1,-1,-1,-1,-1,1,-1,-1
2000-01-27,25.58533748137555,26.16814699120188,24.87430987938744,25.270620346069336,26986000.0,AMAT,1,-1,1,1,-1,-1,1,-1,1,-1,1
2000-01-28,25.107444487555178,25.80681620030045,23.97679355195033,24.198261260986328,31494800.0,AMAT,-1,-1,-1,-1,-1,-1,-1,-1,1,-1,-1
2000-01-31,24.00009808601144,25.65527726435705,23.918504746233832,25.596996307373047,30351200.0,AMAT,1,1,1,1,1,-1,1,1,1,-1,1
2000-02-01,24.94425418962363,26.36630980230311,24.85100464125121,26.203123092651367,22794800.0,AMAT,1,1,1,1,1,-1,1,1,1,-1,1
2000-02-02,26.121524671532185,27.438674286830327,26.039931332531417,26.82089614868164,27897200.0,AMAT,1,1,1,1,1,1,1,1,1,-1,1
2000-02-03,27.030716729886603,27.97486854322029,27.030716729886603,27.69511985778809,23597200.0,AMAT,1,1,1,1,1,1,-1,1,1,-1,1
2000-02-04,27.90492384165192,28.138047683269733,27.01905324350424,27.112302780151367,18998000.0,AMAT,1,1,1,-1,-1,1,-1,-1,1,-1,-1
2000-02-07,27.135617665103823,28.75582851366457,26.855869029381104,28.650922775268555,21438000.0,AMAT,1,1,1,1,1,1,-1,1,1,-1,1
2000-02-08,28.86074659230637,30.11961599132458,28.4411234593003,30.049678802490234,37100400.0,AMAT,1,1,1,1,1,1,-1,-1,1,-1,1
2000-02-09,29.68831477696255,31.436743209056928,29.67665858741525,30.53630256652832,37757200.0,AMAT,1,1,1,-1,-1,1,-1,-1,1,-1,1
2000-02-10,30.53923796515949,32.590728759765625,30.07299005729446,32.590728759765625,27658800.0,AMAT,1,1,1,1,1,1,-1,-1,1,-1,1
2000-02-11,32.24102267352017,32.50911505294569,30.49259411204945,30.77234268188477,33136400.0,AMAT,1,1,1,-1,-1,1,-1,-1,1,-1,-1
2000-02-14,31.2619099200674,31.634908099576027,29.793229588252142,30.038009643554688,30705200.0,AMAT,1,1,1,-1,-1,-1,-1,-1,1,-1,-1
2000-02-15,30.56253159583152,31.56496398226993,29.80487921073272,31.052091598510746,41104800.0,AMAT,1,1,1,1,-1,-1,1,-1,1,-1,1
2000-02-16,32.63734296318775,33.15021549546641,31.98459610392399,32.33428192138672,50966000.0,AMAT,1,1,1,1,1,1,-1,1,1,-1,1
2000-02-17,32.462484857145334,35.236657710287375,31.68152023042047,35.13175201416016,47536400.0,AMAT,1,1,1,1,1,1,-1,1,1,-1,1
2000-02-18,35.12011594141921,35.38820842952165,33.01034462200438,33.15021896362305,35272800.0,AMAT,1,1,1,-1,-1,-1,-1,-1,1,1,-1
2000-02-22,32.893766387696765,34.31582149021236,32.34592548754732,33.34544372558594,30175600.0,AMAT,1,1,1,-1,-1,-1,1,-1,1,1,1
2000-02-23,33.29009223642929,34.362462154409506,33.12690550978013,33.75634002685547,23998000.0,AMAT,1,1,1,1,-1,-1,1,1,1,1,1
2000-02-24,33.616457967732195,34.82870194437718,33.33670935773719,34.22257995605469,27143200.0,AMAT,1,1,1,1,1,-1,1,-1,1,1,1
2000-02-25,34.2575507539314,34.572267960585414,31.89134360760677,32.13612365722656,26224800.0,AMAT,1,-1,1,-1,-1,-1,-1,-1,1,1,-1
2000-02-28,32.404205322265625,33.42994995117187,31.168649291992185,32.98701477050781,34048000.0,AMAT,1,1,1,1,-1,-1,1,-1,1,-1,1
2000-02-29,33.56984223527716,34.40908829115909,33.49990506395366,34.11768341064453,27234400.0,AMAT,1,1,1,1,1,-1,1,1,1,-1,1
2000-03-01,34.22257686710552,34.59557498009849,33.837922563081506,34.43238830566406,19686000.0,AMAT,1,1,1,1,1,-1,1,1,1,-1,1
2000-03-02,34.17597431403099,34.85203383320349,33.6164767809227,33.666015625,17372800.0,AMAT,1,1,1,-1,-1,-1,-1,-1,1,-1,-1
2000-03-03,34.385767770469734,35.62132417171373,34.2925182307532,35.57469940185547,23431200.0,AMAT,1,1,1,1,1,1,1,1,1,-1,1
2000-03-06,35.65628045797348,36.06424705360247,33.86122743720594,34.315818786621094,21448400.0,AMAT,1,1,1,-1,-1,1,-1,-1,1,-1,-1
2000-03-07,34.73546781106135,35.749556971988305,34.22259513197185,34.33915710449219,24902800.0,AMAT,1,1,1,-1,-1,-1,1,1,1,-1,1
2000-03-08,34.58974469746447,34.6421975537875,32.275990924104164,33.45326614379883,32934800.0,AMAT,-1,-1,1,-1,-1,-1,-1,-1,1,-1,-1
2000-03-09,33.29009357320852,35.52808305712169,32.46250371196979,35.49311447143555,22627200.0,AMAT,1,1,1,1,1,-1,1,1,1,-1,1
2000-03-10,35.082224400694145,36.728661545506185,34.86367079740051,36.005977630615234,24828800.0,AMAT,1,1,1,-1,1,1,1,1,1,-1,1
