date,open,high,low,close,volume,symbol,t_sma,t_wma,t_ema,t_willr,t_stck,t_stcd,t_rsi,t_cci,t_mom,t_macd,updown
2000-01-03,43.34250114199528,43.69776754479852,40.30299969578978,41.17142868041992,12030800.0,HD,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
2000-01-04,40.42143613992915,40.61880643358115,38.68457755579157,39.000370025634766,8774500.0,HD,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
2000-01-05,39.000378427051366,39.78985977172852,38.52668962024507,39.78985977172852,6931400.0,HD,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1
2000-01-06,38.92142525513967,39.158269627889,37.89509963989258,37.89509963989258,6603400.0,HD,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
2000-01-07,39.00038911413959,40.10566329956055,38.368803865327614,40.10566329956055,6201600.0,HD,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1
2000-01-10,39.15825721748269,40.14510845784264,39.15825721748269,39.90826416015625,5453000.0,HD,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
2000-01-11,40.06616828647362,40.184590458748914,38.684576276595216,38.8819465637207,4371500.0,HD,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
2000-01-12,38.88196232619037,39.1977549136112,38.32932529820391,38.56616973876953,4599400.0,HD,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
2000-01-13,39.23721694946289,39.47406131736709,38.84247633628922,39.23721694946289,4538900.0,HD,-1,-1,-1,-1,-1,-1,1,-1,-1,-1,1
2000-01-14,39.39511190774342,39.43458596777122,38.64510476721524,39.11879348754883,4578000.0,HD,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
2000-01-18,38.68458046400843,38.68458046400843,37.974047353445,38.21089172363281,5322000.0,HD,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
2000-01-19,37.97405645197088,39.43459708473899,37.97405645197088,39.07933044433594,5176400.0,HD,-1,-1,-1,-1,-1,-1,1,-1,-1,-1,1
2000-01-20,38.88196837375245,39.00039061245423,37.81616822543639,38.40827941894531,7213400.0,HD,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
2000-01-21,38.84247713088989,38.84247713088989,37.53983308076858,37.89509963989258,6682900.0,HD,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
2000-01-24,38.48719627692781,38.48719627692781,35.802961049408744,36.63191604614258,7339600.0,HD,-1,-1,-1,1,-1,-1,1,1,-1,-1,-1
2000-01-25,36.0003295082823,36.07927759930923,34.6582119608244,35.44769287109375,10252400.0,HD,-1,-1,-1,-1,-1,-1,1,1,-1,-1,-1
2000-01-26,35.32928306812295,36.43455672835472,34.776646238007054,36.237186431884766,8468400.0,HD,-1,-1,-1,1,1,-1,1,1,-1,-1,1
2000-01-27,36.552984859810365,37.57931056861714,35.48718508528026,36.78982925415039,6915900.0,HD,-1,-1,-1,1,1,-1,1,1,-1,-1,1
2000-01-28,36.000333704573386,36.27665205537603,35.052956501821456,35.13190460205078,7425100.0,HD,-1,-1,-1,-1,-1,-1,1,-1,-1,-1,-1
2000-01-31,35.68452925187336,35.88189943578859,34.776626405863304,35.76347732543945,5958600.0,HD,-1,-1,-1,1,-1,-1,1,1,-1,-1,1
2000-02-01,35.96086557449833,39.15826416015625,35.88191746127221,39.15826416015625,10950500.0,HD,1,1,1,1,1,1,1,1,1,-1,1
2000-02-02,38.5266820962537,38.8424745724525,37.658252786707,38.3687858581543,5862100.0,HD,1,1,1,-1,1,1,-1,1,-1,-1,-1
