date,open,high,low,close,volume,symbol,t_sma,t_wma,t_ema,t_willr,t_stck,t_stcd,t_rsi,t_cci,t_mom,t_macd,updown
2000-01-03,25.64442009098465,25.85883897899383,24.74386350962665,25.00116539001465,12019200.0,JPM,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
2000-01-04,24.36634536144119,24.560413604074345,23.87039384387788,24.452598571777344,11723400.0,JPM,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
2000-01-05,24.236969209017698,25.03480606376441,23.80570705804988,24.301658630371094,8714550.0,JPM,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
2000-01-06,24.193845313365067,25.16418670293853,24.064466461421937,24.646671295166016,8369250.0,JPM,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1
2000-01-07,25.05636931218137,25.35825261381484,24.49572635665068,25.09949493408203,6571950.0,JPM,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1
2000-01-10,25.099503794596643,25.315135928550283,24.66824150085449,24.66824150085449,4723500.0,JPM,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
2000-01-11,24.150712738045595,24.30165337243617,23.54694427799114,24.08602333068848,8405550.0,JPM,-1,-1,-1,-1,-1,-1,1,-1,-1,-1,-1
2000-01-12,24.04289883972472,24.45259913047707,23.978209424035622,24.236967086791992,7271850.0,JPM,-1,-1,-1,-1,-1,-1,1,-1,-1,-1,1
2000-01-13,24.53885291069464,25.013240653950696,24.34478465913597,24.60354232788086,6918900.0,JPM,-1,-1,-1,-1,-1,-1,1,-1,-1,-1,1
2000-01-14,25.509200368520062,26.13453089525252,25.121063771065817,25.48763656616211,9731850.0,JPM,-1,-1,-1,-1,-1,-1,1,-1,-1,-1,1
2000-01-18,25.50919648304588,25.703264752213176,24.23696984683943,24.4957275390625,5296650.0,JPM,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
2000-01-19,24.926990757262416,26.005147110419003,24.926990757262416,25.57388496398925,15734700.0,JPM,-1,-1,-1,-1,-1,-1,1,-1,-1,-1,1
2000-01-20,26.005148354059536,26.22078042466877,25.099496421331093,25.552322387695312,7770300.0,JPM,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
2000-01-21,25.48763553648804,25.53076116529689,25.05637332590525,25.16418838500977,5160600.0,JPM,1,1,1,-1,-1,-1,-1,-1,-1,-1,-1
2000-01-24,25.66013489106892,25.72482430841965,24.905425680031826,25.185747146606445,6459150.0,JPM,1,1,1,1,-1,-1,1,1,-1,-1,1
2000-01-25,25.18575399955085,26.13453172079882,25.18575399955085,25.746395111083984,7579950.0,JPM,1,1,1,1,-1,-1,1,1,1,-1,1
2000-01-26,26.005142710283312,27.25580528972809,25.87576389082917,27.061737060546875,8386650.0,JPM,1,1,1,1,1,-1,-1,1,1,-1,1
2000-01-27,27.40674860558161,28.118332182056832,27.10486532210145,27.8380126953125,8165850.0,JPM,1,1,1,-1,1,-1,-1,-1,1,-1,1
2000-01-28,27.449880583385543,27.449880583385543,26.43641158739321,26.45797538757324,7500000.0,JPM,1,1,1,-1,-1,-1,-1,-1,1,-1,-1
2000-01-31,26.501096780976795,28.118332182056832,26.501096780976795,27.8380126953125,7160250.0,JPM,1,1,1,1,1,1,1,1,1,-1,1
2000-02-01,28.44179098179772,29.1533748514832,28.05365432560564,28.89461708068848,9651000.0,JPM,1,1,1,1,1,1,-1,1,1,-1,1
2000-02-02,28.635845663483146,29.04554593005385,28.07520475198969,28.420215606689453,7126200.0,JPM,1,1,1,-1,-1,1,-1,-1,1,-1,-1
2000-02-03,28.808351822160493,29.282739522226443,27.68706803496393,28.70053482055664,9200250.0,JPM,1,1,1,1,1,1,1,-1,1,-1,1
2000-02-04,28.463353323280263,28.74367488527667,28.139906126424805,28.2045955657959,5115150.0,JPM,1,1,1,-1,-1,-1,-1,-1,1,-1,-1
2000-02-07,28.355531692504883,28.765230064345403,28.204589044152577,28.355531692504883,4684200.0,JPM,1,1,1,1,-1,-1,1,-1,1,-1,1
2000-02-08,29.002418509093783,29.71400199540181,28.980854715090373,29.347427368164062,6318600.0,JPM,1,1,1,1,1,1,-1,1,1,-1,1
2000-02-09,29.30430747157308,29.80025903709897,28.44178120729095,28.592723846435547,9818550.0,JPM,1,1,1,-1,-1,-1,-1,-1,1,-1,-1
2000-02-10,28.678970336914062,28.894600371773613,28.075201896146574,28.678970336914062,6880500.0,JPM,1,1,1,1,-1,-1,1,-1,1,-1,1
2000-02-11,28.722109466462925,29.32587819138048,28.290847219616047,28.50647735595703,7052550.0,JPM,1,1,1,-1,-1,-1,-1,1,1,-1,-1
2000-02-14,28.37711039546248,28.78681098514146,27.277389526367188,27.277389526367188,5904750.0,JPM,-1,-1,-1,-1,-1,-1,-1,-1,1,-1,-1
2000-02-15,27.62238108538905,28.463343507192462,27.47143845419007,27.96739196777344,8965500.0,JPM,-1,-1,1,1,-1,-1,1,1,1,-1,1
2000-02-16,27.945845118108785,28.35554566601278,27.255824909050165,27.42832946777344,4829700.0,JPM,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
2000-02-17,27.816455284374182,28.118338637157432,26.846113820965783,27.04018211364746,5716200.0,JPM,-1,-1,-1,-1,-1,-1,-1,-1,1,-1,-1
2000-02-18,26.93237023457281,27.10487474594307,25.72483273248604,25.789522171020508,8121300.0,JPM,-1,-1,-1,-1,-1,-1,1,1,-1,-1,-1
2000-02-22,26.220768966231137,27.21267171441159,25.91888380446867,26.65203094482422,7068600.0,JPM,-1,-1,-1,1,-1,-1,1,1,-1,-1,1
2000-02-23,26.69516563415528,27.320497986188983,26.414846141057467,26.69516563415528,4452900.0,JPM,-1,-1,-1,1,-1,-1,1,1,-1,-1,1
2000-02-24,26.65204156945777,26.75985661354477,25.746389671466485,26.220779418945312,5199900.0,JPM,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
2000-02-25,26.436413901861847,27.169561456358192,25.832647185608195,26.17765617370605,4644300.0,JPM,-1,-1,-1,-1,-1,-1,-1,1,-1,-1,-1
2000-02-28,26.479543717881555,27.687079225421265,26.350164842996406,26.88924217224121,6051000.0,JPM,-1,1,-1,1,1,-1,1,1,-1,-1,1
2000-02-29,26.802990789714386,27.94583685489186,26.802990789714386,27.4714469909668,6166950.0,JPM,1,1,1,1,1,1,1,1,-1,-1,1
2000-03-01,27.55769645161288,28.290843963623047,27.212685509343743,28.290843963623047,4866300.0,JPM,1,1,1,1,1,1,1,1,-1,-1,1
2000-03-02,27.7733295299976,27.988959649228928,27.51457180758819,27.794891357421875,3583800.0,JPM,1,1,1,-1,1,1,-1,-1,-1,-1,-1
2000-03-03,28.29084367043334,28.42022252567288,27.385191683756588,27.98895835876465,5981400.0,JPM,1,1,1,1,1,1,1,1,-1,-1,1
2000-03-06,28.61429207989517,29.11024372229416,28.377096185307384,28.78679656982422,5691450.0,JPM,1,1,1,1,1,1,-1,1,1,1,1
2000-03-07,28.786781760422656,29.04553934928039,27.94581959663503,28.22614097595215,4566900.0,JPM,1,1,1,-1,1,1,-1,-1,1,1,-1
2000-03-08,27.85958029070036,28.09677618145128,27.126434739737665,27.25581359863281,5247750.0,JPM,1,-1,-1,-1,-1,1,-1,-1,-1,-1,-1
2000-03-09,27.16955960030248,28.032085959954266,26.932365690418216,27.98895835876465,3979500.0,JPM,1,1,1,1,1,1,1,1,1,-1,1
2000-03-10,27.600830670850204,28.139910065797984,26.824557289724744,27.14800453186035,5311350.0,JPM,-1,-1,-1,-1,-1,-1,-1,-1,1,-1,-1
2000-03-13,26.78141138760212,28.010509977854387,26.60890698035816,27.622373580932617,4723350.0,JPM,1,-1,1,1,-1,-1,1,-1,1,-1,1
2000-03-14,27.773329034213408,27.924269720147933,27.08330713732947,27.25581359863281,4129650.0,JPM,-1,-1,-1,-1,-1,-1,-1,-1,1,-1,-1
2000-03-15,26.86766698877557,29.04554297550648,26.630471186600506,28.678970336914062,8861700.0,JPM,1,1,1,1,1,1,1,1,1,-1,1
2000-03-16,29.304307565767022,31.18030076534152,29.045549883067093,31.09404754638672,15634950.0,JPM,1,1,1,1,1,1,-1,-1,1,1,1
2000-03-17,30.79217204330419,31.82720303635644,30.53341429504113,31.39594078063965,11889150.0,JPM,1,1,1,-1,1,1,-1,-1,1,1,1
2000-03-20,31.05091964888964,31.22342409999537,29.15336279006939,29.864946365356445,8076150.0,JPM,1,1,1,-1,-1,1,-1,-1,1,1,-1
2000-03-21,29.821821372339443,31.91344652288658,29.49837428587156,31.74094009399414,8345550.0,JPM,1,1,1,1,1,1,1,1,1,1,1
2000-03-22,31.26654361968988,31.78405881353764,30.619649627380184,31.589990615844727,8604150.0,JPM,1,1,1,-1,1,1,-1,-1,1,1,-1
2000-03-23,31.39591648421937,34.22068572535968,31.37435269716341,33.983489990234375,10431450.0,JPM,1,1,1,1,1,1,-1,1,1,1,1
2000-03-24,33.46599996027439,34.75978866941296,33.12099095394737,33.1856803894043,9489000.0,JPM,1,1,1,-1,-1,1,-1,-1,1,1,-1
2000-03-27,33.120977722772274,33.42286295041737,32.28001539778001,32.66815185546875,4828950.0,JPM,1,1,1,-1,-1,-1,-1,-1,1,1,-1
2000-03-28,32.3447112600941,33.03473110892127,32.12907919363864,32.517215728759766,7325700.0,JPM,1,1,1,-1,-1,-1,-1,-1,1,1,-1
2000-03-29,32.51722369730232,32.60347693985428,30.81373646959717,31.180309295654297,9088350.0,JPM,1,-1,1,-1,-1,-1,-1,-1,1,1,-1
2000-03-30,30.85685452099504,31.309680478326204,29.64931929283344,30.0158920288086,8017200.0,JPM,-1,-1,-1,-1,-1,-1,-1,-1,1,-1,-1
2000-03-31,30.360903155814697,30.49028200168583,29.67088132839229,30.080581665039062,6805050.0,JPM,-1,-1,-1,1,-1,-1,1,-1,1,-1,1
2000-04-03,30.33933843222255,32.085952798256685,30.29621280963456,31.913448333740234,8509500.0,JPM,1,1,1,1,1,-1,1,1,1,-1,1
2000-04-04,31.733113945361616,31.86316769103933,28.78522838184593,30.085765838623047,12638700.0,JPM,-1,-1,-1,-1,-1,-1,-1,-1,1,-1,-1
2000-04-05,29.21874520097748,30.15079581806013,29.21874520097748,29.95571517944336,7310700.0,JPM,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
2000-04-06,30.1724601528021,30.60597184983201,30.107433299024507,30.324190139770508,4853400.0,JPM,-1,-1,-1,1,-1,-1,1,1,-1,-1,1
2000-04-07,30.6059839748326,30.6059839748326,29.82566142036551,29.95571517944336,4914150.0,JPM,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
2000-04-10,29.652249794817987,30.8877602029354,29.52219606764773,30.56262588500977,7864950.0,JPM,-1,-1,-1,1,1,-1,1,1,-1,-1,1
2000-04-11,30.17246173531425,30.475919740705013,29.478842586794425,29.82565116882324,8217150.0,JPM,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
2000-04-12,30.49759830614918,31.538028099109493,29.999059691843144,30.107437133789062,9133350.0,JPM,-1,-1,-1,1,-1,-1,1,1,-1,-1,1
2000-04-13,29.8256519593056,30.08575939495205,29.218735932438708,29.30543708801269,6781050.0,JPM,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
2000-04-14,28.43841174996017,28.568465459206244,26.270849267705064,27.35462951660156,13084500.0,JPM,-1,-1,-1,1,-1,-1,1,1,-1,-1,-1
2000-04-17,26.87776793924549,27.549710798214672,25.98906624660291,27.26792907714844,8708700.0,JPM,-1,-1,-1,1,1,-1,1,1,-1,-1,-1
2000-04-18,27.13788091838013,28.06993139336545,27.07285404875499,27.91820335388184,6833400.0,JPM,-1,-1,-1,1,1,1,1,1,-1,-1,1
2000-04-19,28.004898821973256,28.09160195864164,26.227499403737685,27.051172256469727,9057150.0,JPM,-1,-1,-1,-1,-1,-1,1,1,-1,-1,-1
2000-04-20,27.09451240207131,27.11618867400929,26.444244088545908,26.81273078918457,4540650.0,JPM,-1,-1,-1,-1,-1,-1,1,1,-1,-1,-1
2000-04-24,26.35756130362951,26.50928935935086,25.815670003939985,25.924047470092773,7792800.0,JPM,-1,-1,-1,-1,-1,-1,1,-1,-1,-1,-1
2000-04-25,26.270848844093614,27.246251647710952,26.09744456271568,27.072847366333008,6327150.0,JPM,-1,-1,-1,1,1,-1,1,1,-1,-1,1
2000-04-26,27.31128561152549,27.31128561152549,26.42258570946339,26.509286880493164,5500500.0,JPM,-1,-1,-1,-1,-1,-1,-1,1,-1,-1,-1
2000-04-27,26.05409819393289,26.184151931979923,25.42550578819313,25.620586395263672,9298200.0,JPM,-1,-1,-1,-1,-1,-1,1,-1,-1,-1,-1
2000-04-28,25.75062811603588,25.90235806776909,24.88360293885722,25.013656616210938,8603250.0,JPM,-1,-1,-1,-1,-1,-1,1,-1,-1,-1,-1
2000-05-01,25.143718636181045,26.140797821541536,24.818584334918093,25.577232360839844,8439750.0,JPM,-1,-1,-1,1,1,-1,1,1,-1,-1,1
2000-05-02,25.59889959636875,26.704355915717315,25.44717162060913,26.400897979736328,8411250.0,JPM,-1,1,-1,1,1,1,1,1,-1,-1,1
2000-05-03,26.07576942925501,26.61766056100955,25.750635147094727,25.750635147094727,9320550.0,JPM,-1,-1,-1,-1,1,1,-1,-1,-1,-1,-1
2000-05-04,26.0540904419484,26.162469847716032,25.27376824583884,25.40382194519043,6172200.0,JPM,-1,-1,-1,-1,1,1,-1,-1,-1,-1,-1
2000-05-05,24.970318207183443,25.23042568850827,24.45010324453379,25.03534507751465,14505150.0,JPM,-1,-1,-1,1,1,1,-1,-1,-1,-1,-1
2000-05-08,24.84026030699412,25.382151463834816,24.73188286941089,24.970314025878903,5497650.0,JPM,-1,-1,-1,-1,-1,1,-1,1,-1,-1,-1
2000-05-09,25.057014857704942,25.208742859447806,24.580150604248047,24.580150604248047,6378000.0,JPM,-1,-1,-1,-1,-1,-1,1,-1,-1,-1,-1
2000-05-10,24.51512846035013,24.51512846035013,23.84318351745605,23.84318351745605,6616050.0,JPM,-1,-1,-1,-1,-1,-1,1,-1,-1,-1,-1
2000-05-11,24.29837145771112,24.51512833792473,23.756482233870777,24.27669715881348,7853100.0,JPM,-1,-1,-1,1,1,-1,1,1,-1,-1,1
2000-05-12,23.97323044275265,25.27376739234976,23.62642191250136,24.840255737304688,12221850.0,JPM,-1,-1,-1,1,1,1,1,1,-1,-1,1
2000-05-15,25.23042475638078,26.0757740394554,24.99199356879596,25.880693435668945,6703200.0,JPM,1,1,1,1,1,1,1,1,-1,1,1
2000-05-16,26.5743080004134,26.59598428071148,25.55555457779856,25.750635147094727,7925100.0,JPM,1,1,1,1,1,1,-1,1,-1,1,-1
2000-05-17,25.40381970250652,25.98906129792276,25.33879285857138,25.66392707824707,4350600.0,JPM,1,1,1,-1,1,1,-1,-1,-1,1,-1
2000-05-18,25.57722451262542,26.48760027681848,25.57722451262542,26.054086685180664,5156250.0,JPM,1,1,1,1,1,1,1,1,1,1,1
2000-05-19,25.880696356035337,25.989073819991788,25.05702326414826,25.14372444152832,5114550.0,JPM,-1,-1,-1,-1,-1,1,-1,-1,-1,1,-1
2000-05-22,25.403830014570623,25.403830014570623,24.45010324453379,25.03534507751465,4164600.0,JPM,-1,-1,-1,-1,-1,1,-1,-1,-1,1,-1
2000-05-23,24.94863622002304,25.85901219658553,24.94863622002304,25.3604736328125,5208750.0,JPM,1,1,-1,1,1,1,1,1,-1,1,1
2000-05-24,25.143713697390044,25.46884793478932,24.450094652425555,24.840255737304688,8573100.0,JPM,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,-1
2000-05-25,24.97031565412516,25.577233709983727,24.18999328993376,24.3633975982666,7721400.0,JPM,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,-1
2000-05-26,24.406741749651005,24.71019968073419,24.05993126808329,24.450092315673828,6163950.0,JPM,-1,-1,-1,1,-1,-1,1,-1,-1,1,1
2000-05-30,24.84026882599812,25.490537643432617,24.666864469503228,25.490537643432617,4197750.0,JPM,1,1,1,1,1,1,1,1,1,1,1
2000-05-31,25.317121167943256,26.14079394759062,25.317121167943256,25.902362823486328,4983150.0,JPM,1,1,1,1,1,1,1,1,1,1,1
2000-06-01,26.31419565613424,27.13787033995689,26.162467675794645,26.747709274291992,8779650.0,JPM,1,1,1,1,1,1,-1,1,1,1,1
2000-06-02,28.56846658341171,28.56846658341171,27.74479173613257,27.98322486877441,8867400.0,JPM,1,1,1,-1,1,1,-1,-1,1,1,1
2000-06-05,27.91820692191149,28.13496185872217,27.48469307936448,27.528045654296875,4890450.0,JPM,1,1,1,-1,1,1,-1,-1,1,1,-1
2000-06-06,27.52803774269898,27.52803774269898,26.53095857275823,26.70436286926269,5546850.0,JPM,1,1,1,-1,-1,1,-1,-1,1,1,-1
2000-06-07,26.856085544679225,27.20289602756668,26.57430190330431,26.6610050201416,5901150.0,JPM,1,1,1,-1,-1,-1,-1,-1,1,1,-1
2000-06-08,26.94279173230076,26.94279173230076,26.14079326741836,26.53095436096192,3975150.0,JPM,1,1,1,-1,-1,-1,-1,-1,1,1,-1
2000-06-09,26.70437974790248,27.267947540556847,24.75357273747624,25.425518035888672,10294950.0,JPM,-1,-1,-1,-1,-1,-1,-1,-1,1,1,-1
2000-06-12,25.685625352276865,25.88070605115492,25.0678698058297,25.27920722961425,5142600.0,JPM,-1,-1,-1,-1,-1,-1,-1,-1,1,1,-1
2000-06-13,25.165380811876823,25.230407635680123,24.77521986905703,25.067840576171875,5649900.0,JPM,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
2000-06-14,25.4255034676503,26.20582582471373,25.1003691522072,26.043258666992188,5920600.0,JPM,1,-1,1,1,1,-1,1,1,1,1,1
2000-06-15,25.91320696499833,25.9457203990824,24.25502182671111,25.39299201965332,9911800.0,JPM,-1,-1,-1,-1,-1,-1,-1,-1,1,-1,-1
2000-06-16,24.320046300245284,24.41758659289333,22.954482203172688,23.637264251708984,16619900.0,JPM,-1,-1,-1,-1,-1,-1,1,-1,-1,-1,-1
2000-06-19,23.604746688842773,24.645176294962564,23.4746929880778,24.385068893432617,7731000.0,JPM,-1,-1,-1,1,-1,-1,1,1,-1,-1,1
